ID,NET,Instances,Scenarios,W,b,pulse,total,OF
1322,RI,RI6,500,85125,74325,3.813408618,13.29622082,485
1323,RI,RI6,500,85125,58127,0.350469403,9.833281603,264
1324,RI,RI6,500,85125,74325,3.824501438,13.30731364,485
1325,RI,RI6,500,85125,58127,0.347314323,9.830126523,264
1326,RI,RI6,500,85125,74325,3.629195748,13.11200795,485
1327,RI,RI6,1000,85125,58127,0.552736242,19.80936334,512
1328,RI,RI6,1000,85125,74325,4.0171739,23.273801,970
1329,RI,RI6,1000,85125,58127,0.567477291,19.82410439,512
1330,RI,RI6,1000,85125,74325,4.10338828,23.36001538,970
1331,RI,RI6,1000,85125,58127,0.553792102,19.8104192,512
1332,RI,RI6,1000,85125,74325,3.977380784,23.23400788,970
1333,RI,RI7,1,1,2.27E-04,0.079925382,1,1
1334,RI,RI7,10,32308,22333,4.22E-04,0.13000011,3
1335,RI,RI7,10,32308,28318,1.36E-04,0.129714601,5
1336,RI,RI7,10,35199,23778,1.58E-04,0.129736949,3
1337,RI,RI7,10,35199,30630,2.07E-04,0.129785349,8
1338,RI,RI7,10,38090,25224,2.02E-04,0.129780879,4
1339,RI,RI7,10,38090,32943,1.54E-04,0.129732829,10
1340,RI,RI7,50,40671,26514,8.04E-04,0.667376021,11
1341,RI,RI7,50,40671,35008,9.26E-04,0.667497406,39
1342,RI,RI7,50,46477,29417,0.001969804,0.668541673,25
1343,RI,RI7,50,46477,39653,0.001725429,0.668297298,49
1344,RI,RI7,50,52284,32321,0.001629956,0.668201825,39
1345,RI,RI7,50,52284,44298,2.53E-04,0.666824904,50
1346,RI,RI7,100,43358,27806,0.002405334,1.41277823,19
1347,RI,RI7,100,43358,37137,0.002388013,1.412760909,85
1348,RI,RI7,100,47821,30037,0.005661124,1.41603402,52
1349,RI,RI7,100,47821,40707,0.005648063,1.416020959,97
1350,RI,RI7,100,52284,32269,0.00247259,1.412845486,80
1351,RI,RI7,100,52284,44278,0.004391619,1.414764515,100
1352,RI,RI7,200,44151,27814,0.003117225,3.142266963,69
1353,RI,RI7,200,44151,37616,0.003112197,3.142261935,180
1354,RI,RI7,200,48217,29847,0.005479467,3.144629205,103
1355,RI,RI7,200,48217,40869,0.007516248,3.146665986,194
1356,RI,RI7,200,52284,31881,0.003621549,3.142771287,160
1357,RI,RI7,200,52284,44122,0.007910433,3.147060171,199
1358,RI,RI7,500,47682,29580,0.017345361,9.072860656,218
1359,RI,RI7,500,47682,40441,0.014625044,9.070140339,475
1360,RI,RI7,500,49983,30730,0.025770664,9.081285959,263
1361,RI,RI7,500,49983,42282,0.038885528,9.094400823,486
1362,RI,RI7,500,52284,31881,0.008326756,9.063842051,402
1363,RI,RI7,500,52284,44122,0.022897463,9.078412758,496
1364,RI,RI7,1000,48206,29660,0.015072027,18.64222073,413
1365,RI,RI7,1000,48206,40787,0.015492192,18.6426409,960
1366,RI,RI7,1000,50245,30680,0.02973269,18.65688139,481
1367,RI,RI7,1000,50245,42419,0.030755097,18.6579038,977
1368,RI,RI7,1000,52284,31699,0.018300999,18.6454497,784
1369,RI,RI7,1000,52284,44050,0.036339884,18.66348859,989
1370,RI,RI8,1,1,4.07E-04,0.09251609,1,1
1371,RI,RI8,10,68776,52923,0.005723912,0.140779345,0
1372,RI,RI8,10,68776,62434,0.006131575,0.141187008,1
1373,RI,RI8,10,74139,55604,0.017968904,0.153024337,2
1374,RI,RI8,10,74139,66725,0.031565604,0.166621037,8
1375,RI,RI8,10,79502,58286,0.008999049,0.144054482,4
1376,RI,RI8,10,79502,71015,0.005473461,0.140528894,10
1377,RI,RI8,50,78847,57958,0.085559547,0.856520172,8
1378,RI,RI8,50,78847,70491,0.110482688,0.881443313,32
1379,RI,RI8,50,79463,58266,0.07875128,0.849711905,8
1380,RI,RI8,50,79463,70984,0.138195706,0.909156331,33
1381,RI,RI8,50,80080,58575,0.074383546,0.845344171,15
1382,RI,RI8,50,80080,71478,0.126088441,0.897049066,41
1383,RI,RI8,100,80080,58575,0.082153738,1.750402705,24
1384,RI,RI8,100,80080,71478,0.101364908,1.769613875,78
1385,RI,RI8,100,80080,58575,0.087111072,1.755360039,24
1386,RI,RI8,100,80080,71478,0.104468655,1.772717622,78
1387,RI,RI8,100,80080,58575,0.086128194,1.754377161,24
1388,RI,RI8,100,80080,71478,0.098722324,1.766971291,78
1389,RI,RI8,200,84510,60790,0.660198643,3.930259294,62
1390,RI,RI8,200,84510,75022,0.707931106,3.977991757,169
1391,RI,RI8,200,91443,64256,0.494334895,3.764395546,100
1392,RI,RI8,200,91443,80568,3.444542881,6.714603532,191
1393,RI,RI8,200,98377,67723,0.673417712,3.943478363,135
1394,RI,RI8,200,98377,86115,3.163823126,6.433883777,200
1395,RI,RI8,500,90052,63561,4.279847579,12.46047396,135
1396,RI,RI8,500,90052,79455,5.68424751,13.86487389,426
1397,RI,RI8,500,94214,65642,2.799580954,10.98020733,247
1398,RI,RI8,500,94214,82785,11.49644557,19.67707195,486
1399,RI,RI8,500,98377,67723,5.02060185,13.20122823,316
1400,RI,RI8,500,98377,86115,19.75456916,27.93519554,495
1401,RI,RI8,1000,94672,63372,26.09582482,47.20871801,211
1402,RI,RI8,1000,94672,82152,34.19034738,55.30324056,923
1403,RI,RI8,1000,97376,64724,10.04128583,31.15417902,404
1404,RI,RI8,1000,97376,84315,38.85161557,59.96450876,975
1405,RI,RI8,1000,100081,66076,21.23531545,42.34820864,561
1406,RI,RI8,1000,100081,86479,59.29793563,80.41082882,986
1407,RI,RI9,1,1,5.20E-04,0.074815793,1,1
1408,RI,RI9,10,87530,66628,0.335903166,0.487941483,0
1409,RI,RI9,10,87530,79169,0.40815795,0.560196267,0
1410,RI,RI9,10,92918,69322,0.804164146,0.956202463,3
1411,RI,RI9,10,92918,83479,0.906203233,1.05824155,7
1412,RI,RI9,10,98307,72017,0.138994481,0.291032798,4
1413,RI,RI9,10,98307,87791,1.132092346,1.284130663,10
1414,RI,RI9,50,96691,71209,3.762075417,4.520220516,8
1415,RI,RI9,50,96691,86498,6.772492802,7.530637901,34
1416,RI,RI9,50,100220,72973,1.754499734,2.512644833,16
1417,RI,RI9,50,100220,89321,8.23828231,8.996427409,44
1418,RI,RI9,50,103750,74738,1.416319113,2.174464212,21
1419,RI,RI9,50,103750,92145,12.65866842,13.41681352,46
1420,RI,RI9,100,99631,72679,9.44294617,11.02372299,22
1421,RI,RI9,100,99631,88850,20.10304068,21.6838175,80
1422,RI,RI9,100,101690,73708,8.826667286,10.4074441,29
1423,RI,RI9,100,101690,90497,24.75344283,26.33421964,89
1424,RI,RI9,100,103750,74738,15.9483125,17.52908931,41
1425,RI,RI9,100,103750,92145,30.34028801,31.92106483,93
1426,RI,RI9,200,100227,71535,11.80618047,14.81351548,39
1427,RI,RI9,200,100227,88750,27.45005245,30.45738746,162
1428,RI,RI9,200,101988,72416,9.12801606,12.13535107,54
1429,RI,RI9,200,101988,90159,31.85936104,34.86669605,183
1430,RI,RI9,200,103750,73297,15.41687233,18.42420734,63
1431,RI,RI9,200,103750,91568,49.14629422,52.15362923,186
1432,RI,RI9,500,104098,73471,78.61948865,86.65769232,108
1433,RI,RI9,500,104098,91847,189.4784945,197.5166981,448
1434,RI,RI9,500,105119,73981,46.95390867,54.99211233,130
1435,RI,RI9,500,105119,92664,163.4401763,171.4783799,468
1436,RI,RI9,500,106140,74492,41.36386908,49.40207275,175
1437,RI,RI9,500,106140,93480,165.674269,173.7124727,479
1438,RI,RI9,1000,109323,76083,1187.08124,1209.418407,277
1439,RI,RI9,1000,109323,96027,1853.896803,1876.23397,930
1440,RI,RI9,1000,114198,78521,128.5863482,150.9235152,492
1441,RI,RI9,1000,114198,99927,1402.073628,1424.410795,988
1442,RI,RI9,1000,119073,80958,111.1653842,133.5025512,631
1443,RI,RI9,1000,119073,103827,1480.56208,1502.899247,996
1444,RI,RI10,1,1,1.82E-04,0.089997472,1,1
1445,RI,RI10,10,88584,68994,0.208802306,0.340443129,1
1446,RI,RI10,10,88584,80748,0.289783967,0.42142479,2
1447,RI,RI10,10,93006,71205,0.359252503,0.490893326,2
1448,RI,RI10,10,93006,84285,0.418272854,0.549913677,7
1449,RI,RI10,10,97428,73416,0.473449977,0.6050908,2
1450,RI,RI10,10,97428,87823,0.438646951,0.570287774,9
1451,RI,RI10,50,97480,73442,2.476029845,3.18370135,6
1452,RI,RI10,50,97480,87864,3.498474318,4.206145823,35
1453,RI,RI10,50,99301,74352,3.012379576,3.720051081,15
1454,RI,RI10,50,99301,89321,4.452544108,5.160215613,42
1455,RI,RI10,50,101122,75263,0.676763178,1.384434683,22
1456,RI,RI10,50,101122,90778,4.942804114,5.650475619,44
1457,RI,RI10,100,97529,73067,1.991245744,3.560417524,21
1458,RI,RI10,100,97529,87744,3.786612195,5.355783975,78
1459,RI,RI10,100,99325,73965,2.938011047,4.507182827,33
1460,RI,RI10,100,99325,89181,6.130588246,7.699760026,86
1461,RI,RI10,100,101122,74863,0.80582581,2.37499759,46
1462,RI,RI10,100,101122,90618,8.290091268,9.859263048,90
1463,RI,RI10,200,104095,76123,41.6865911,44.58053663,64
1464,RI,RI10,200,104095,92906,50.21415543,53.10810096,175
1465,RI,RI10,200,104937,76544,1.398720438,4.292665968,96
1466,RI,RI10,200,104937,93579,28.62118272,31.51512825,184
1467,RI,RI10,200,105779,76965,1.358943246,4.252888776,101
1468,RI,RI10,200,105779,94253,32.1715086,35.06545413,186
1469,RI,RI10,500,110427,79008,86.7342781,95.72402079,177
1470,RI,RI10,500,110427,97859,570.7846488,579.7743915,456
1471,RI,RI10,500,114587,81088,15.97219954,24.96194223,314
1472,RI,RI10,500,114587,101187,311.8053846,320.7951272,491
1473,RI,RI10,500,118748,83168,20.99511942,29.98486211,355
1474,RI,RI10,500,118748,104516,567.2614109,576.2511536,495
1475,RI,RI10,1000,114006,78858,103.9239699,125.9683643,416
1476,RI,RI10,1000,114006,99947,1016.771958,1038.816353,959
1477,RI,RI10,1000,116377,80044,29.26195815,51.30635262,578
1478,RI,RI10,1000,116377,101843,458.3937567,480.4381511,987
1479,RI,RI10,1000,118748,81229,29.8469846,51.89137907,638
1480,RI,RI10,1000,118748,103740,620.7195163,642.7639108,991
1481,RI,RI11,1,1,3.14E-04,0.05854599,1,1
1482,RI,RI11,10,58774,48112,7.54E-04,0.111529399,0
1483,RI,RI11,10,58774,54509,2.82E-04,0.111057411,6
1484,RI,RI11,10,61086,49268,7.79E-04,0.111554053,3
1485,RI,RI11,10,61086,56359,6.64E-04,0.111439513,8
1486,RI,RI11,10,63398,50424,6.60E-04,0.111435463,6
1487,RI,RI11,10,63398,58208,3.08E-04,0.111083811,9
1488,RI,RI11,50,68481,52143,0.003680774,0.662989779,9
1489,RI,RI11,50,68481,61945,0.003849721,0.663158726,27
1490,RI,RI11,50,72769,54287,0.003813753,0.663122758,22
1491,RI,RI11,50,72769,65376,0.007326141,0.666635146,46
1492,RI,RI11,50,77058,56431,0.003664502,0.662973507,31
1493,RI,RI11,50,77058,68807,0.005506915,0.66481592,50
1494,RI,RI11,100,73873,52752,0.020318923,1.403429974,14
1495,RI,RI11,100,73873,65424,0.023743102,1.406854153,75
1496,RI,RI11,100,77941,54786,0.010633615,1.393744666,41
1497,RI,RI11,100,77941,68679,0.06582331,1.448934361,90
1498,RI,RI11,100,82009,56820,0.014270529,1.39738158,54
1499,RI,RI11,100,82009,71933,0.038347471,1.421458522,98
1500,RI,RI11,200,78572,55102,0.047668977,2.901859873,56
1501,RI,RI11,200,78572,69184,0.090170887,2.944361783,172
1502,RI,RI11,200,80290,55961,0.024155584,2.87834648,92
1503,RI,RI11,200,80290,70558,0.095989574,2.95018047,187
1504,RI,RI11,200,82009,56820,0.025646066,2.879836962,100
1505,RI,RI11,200,82009,71933,0.109188179,2.963379075,191
1506,RI,RI11,500,84736,58184,0.962334878,9.687786298,196
1507,RI,RI11,500,84736,74115,1.055854376,9.781305796,471
1508,RI,RI11,500,87721,59676,3.099255911,11.82470733,258
1509,RI,RI11,500,87721,76503,3.511012433,12.23646385,489
1510,RI,RI11,500,90706,61169,0.502840933,9.228292353,329
1511,RI,RI11,500,90706,78891,1.66340799,10.38885941,493
1512,RI,RI11,1000,85576,58307,1.094268894,20.36668718,378
1513,RI,RI11,1000,85576,74668,1.169754676,20.44217296,952
1514,RI,RI11,1000,88141,59589,0.692611002,19.96502928,505
1515,RI,RI11,1000,88141,76720,2.048030546,21.32044883,978
1516,RI,RI11,1000,90706,60872,0.704410476,19.97682876,658
1517,RI,RI11,1000,90706,78772,3.117250306,22.38966859,988
1518,RI,RI12,1,1,4.02E-04,0.079572126,1,1
1519,RI,RI12,10,79458,55251,0.007785418,0.137168482,1
1520,RI,RI12,10,79458,69775,0.016731875,0.146114939,3
1521,RI,RI12,10,82403,56724,0.022994333,0.152377397,1
1522,RI,RI12,10,82403,72131,0.032098562,0.161481626,6
1523,RI,RI12,10,85348,58196,0.002408616,0.13179168,2
1524,RI,RI12,10,85348,74487,0.015071748,0.144454812,8
1525,RI,RI12,50,85194,58119,0.005499232,0.71676917,4
1526,RI,RI12,50,85194,74364,0.008374248,0.719644186,35
1527,RI,RI12,50,85286,58165,0.005716578,0.716986516,4
1528,RI,RI12,50,85286,74437,0.008558,0.719827938,35
1529,RI,RI12,50,85378,58211,0.003552407,0.714822345,4
1530,RI,RI12,50,85378,74511,0.007204267,0.718474205,35
1531,RI,RI12,100,88763,59904,0.015754587,1.487660024,4
1532,RI,RI12,100,88763,77219,0.018425945,1.490331382,75
1533,RI,RI12,100,90717,60881,0.012811964,1.484717401,10
1534,RI,RI12,100,90717,78782,0.016454186,1.488359623,88
1535,RI,RI12,100,92672,61858,0.017010473,1.48891591,13
1536,RI,RI12,100,92672,80346,0.036511694,1.508417131,88
1537,RI,RI12,200,89992,60518,0.013028402,2.930931445,18
1538,RI,RI12,200,89992,78202,0.026435134,2.944338177,157
1539,RI,RI12,200,91332,61188,0.015402726,2.933305769,23
1540,RI,RI12,200,91332,79274,0.03404874,2.951951783,168
1541,RI,RI12,200,92672,61858,0.017359748,2.935262791,29
1542,RI,RI12,200,92672,80346,0.051948013,2.969851056,172
1543,RI,RI12,500,95382,63213,0.060106662,8.065195647,92
1544,RI,RI12,500,95382,82514,0.152947512,8.158036497,451
1545,RI,RI12,500,96051,63548,0.065612459,8.070701444,102
1546,RI,RI12,500,96051,83049,0.201145467,8.206234452,458
1547,RI,RI12,500,96721,63883,0.07693401,8.082022995,108
1548,RI,RI12,500,96721,83585,0.168060885,8.17314987,467
1549,RI,RI12,1000,98738,64891,0.273028206,19.44015035,142
1550,RI,RI12,1000,98738,85199,0.646749307,19.81387146,892
1551,RI,RI12,1000,100228,65636,0.403577759,19.57069991,164
1552,RI,RI12,1000,100228,86391,1.068345208,20.23546736,916
1553,RI,RI12,1000,101719,66382,0.328418975,19.49554112,321
1554,RI,RI12,1000,101719,87584,0.685172976,19.85229512,970
1555,RI,RI13,1,1,1.06E-04,0.077019215,1,1
1556,RI,RI13,10,49420,37407,2.27E-04,0.136820113,0
1557,RI,RI13,10,49420,44615,1.41E-04,0.136734557,4
1558,RI,RI13,10,49809,37602,2.17E-04,0.136810196,1
1559,RI,RI13,10,49809,44926,1.64E-04,0.136757326,4
1560,RI,RI13,10,50199,37797,1.98E-04,0.136791338,1
1561,RI,RI13,10,50199,45238,1.59E-04,0.136752366,5
1562,RI,RI13,50,61921,43658,0.003393169,0.66767138,8
1563,RI,RI13,50,61921,54615,0.005662312,0.669940523,32
1564,RI,RI13,50,64855,45125,0.001392496,0.665670707,20
1565,RI,RI13,50,64855,56963,0.00646374,0.670741951,44
1566,RI,RI13,50,67790,46592,0.001969524,0.666247735,23
1567,RI,RI13,50,67790,59311,0.003954762,0.668232973,48
1568,RI,RI13,100,63547,44471,0.006479665,1.489909961,13
1569,RI,RI13,100,63547,55916,0.007810699,1.491240995,64
1570,RI,RI13,100,65668,45531,0.014842179,1.498272475,16
1571,RI,RI13,100,65668,57613,0.019426282,1.502856578,79
1572,RI,RI13,100,67790,46592,0.003803347,1.487233643,41
1573,RI,RI13,100,67790,59311,0.017845913,1.501276209,91
1574,RI,RI13,200,65064,44724,0.009272897,3.036427047,34
1575,RI,RI13,200,65064,56928,0.010803259,3.037957409,163
1576,RI,RI13,200,67522,45953,0.014765703,3.041919853,55
1577,RI,RI13,200,67522,58894,0.025533763,3.052687913,178
1578,RI,RI13,200,69981,47183,0.00624863,3.03340278,91
1579,RI,RI13,200,69981,60861,0.021568383,3.048722533,191
1580,RI,RI13,500,73692,49038,0.072939787,8.235916995,165
1581,RI,RI13,500,73692,63830,0.140326634,8.303303842,468
1582,RI,RI13,500,77608,50996,0.07575041,8.238727618,269
1583,RI,RI13,500,77608,66963,0.162214121,8.325191329,492
1584,RI,RI13,500,81525,52955,0.035351211,8.198328419,367
1585,RI,RI13,500,81525,70097,0.161795983,8.324773191,498
1586,RI,RI13,1000,75526,49097,0.153306008,18.8671079,318
1587,RI,RI13,1000,75526,64954,0.207161735,18.92096363,958
1588,RI,RI13,1000,78525,50596,0.171386308,18.8851882,523
1589,RI,RI13,1000,78525,67353,0.342823669,19.05662556,981
1590,RI,RI13,1000,81525,52096,0.069976422,18.78377832,667
1591,RI,RI13,1000,81525,69753,0.305065448,19.01886734,992
1592,RI,RI14,1,1,4.45E-04,0.085538246,1,1
1593,RI,RI14,10,52880,40082,6.14E-04,0.135566881,1
1594,RI,RI14,10,52880,47760,2.50E-04,0.135202378,7
1595,RI,RI14,10,54061,40672,3.24E-04,0.135276899,3
1596,RI,RI14,10,54061,48705,2.22E-04,0.135174233,8
1597,RI,RI14,10,55242,41263,1.97E-04,0.13514916,4
1598,RI,RI14,10,55242,49650,1.69E-04,0.135121782,9
1599,RI,RI14,50,58209,42746,9.35E-04,0.689038062,14
1600,RI,RI14,50,58209,52024,9.39E-04,0.689041414,39
1601,RI,RI14,50,69473,48378,0.001632679,0.689735357,38
1602,RI,RI14,50,69473,61035,1.16E-04,0.688218755,50
1603,RI,RI14,50,80737,54010,0.001618502,0.68972118,47
1604,RI,RI14,50,80737,70046,1.16E-04,0.688218335,50
1605,RI,RI14,100,58455,42748,0.001087988,1.486709485,31
1606,RI,RI14,100,58455,52172,0.001067174,1.486688671,82
1607,RI,RI14,100,69596,48318,0.002974609,1.488596106,75
1608,RI,RI14,100,69596,61085,2.15E-04,1.485836259,100
1609,RI,RI14,100,80737,53889,0.003739092,1.489360589,93
1610,RI,RI14,100,80737,69997,1.75E-04,1.48579631,100
1611,RI,RI14,200,59580,41922,0.001445435,3.026910543,83
1612,RI,RI14,200,59580,52517,0.001523726,3.026988834,173
1613,RI,RI14,200,70158,47211,0.004041156,3.029506264,141
1614,RI,RI14,200,70158,60979,4.87E-04,3.025951902,200
1615,RI,RI14,200,80737,52501,0.004402026,3.029867134,183
1616,RI,RI14,200,80737,69442,2.91E-04,3.025756276,200
1617,RI,RI14,500,64930,44133,0.008028814,8.20200242,260
1618,RI,RI14,500,64930,56611,0.009610021,8.203583627,474
1619,RI,RI14,500,72833,48085,0.016461172,8.210434778,358
1620,RI,RI14,500,72833,62933,0.018928942,8.212902548,497
1621,RI,RI14,500,80737,52037,0.01172684,8.205700446,445
1622,RI,RI14,500,80737,69257,6.22E-04,8.194595473,500
1623,RI,RI14,1000,70920,47128,0.023642461,18.92099233,687
1624,RI,RI14,1000,70920,61403,0.042022449,18.93937232,985
1625,RI,RI14,1000,75828,49582,0.036247624,18.9335975,788
1626,RI,RI14,1000,75828,65329,0.101946266,18.99929614,993
1627,RI,RI14,1000,80737,52037,0.024734288,18.92208416,896
1628,RI,RI14,1000,80737,69257,0.114347913,19.01169779,998
1629,RI,RI15,1,1,3.75E-04,0.081661007,1,1
1630,RI,RI15,10,74672,56514,0.008859924,0.12897128,1
1631,RI,RI15,10,74672,67409,0.013734637,0.133845993,6
1632,RI,RI15,10,76924,57640,0.010316884,0.13042824,2
1633,RI,RI15,10,76924,69210,0.019315094,0.13942645,7
1634,RI,RI15,10,79177,58767,0.01033588,0.130447236,3
1635,RI,RI15,10,79177,71013,0.021067064,0.14117842,8
1636,RI,RI15,50,83394,60493,0.188884411,0.878159515,12
1637,RI,RI15,50,83394,74233,0.267448447,0.956723551,41
1638,RI,RI15,50,86565,62079,0.026885331,0.716160435,25
1639,RI,RI15,50,86565,76770,0.141247981,0.830523085,47
1640,RI,RI15,50,89736,63664,0.0326457,0.721920804,28
1641,RI,RI15,50,89736,79307,0.208011702,0.897286806,48
1642,RI,RI15,100,85998,61795,0.315723856,1.794871276,28
1643,RI,RI15,100,85998,76317,0.501817969,1.980965389,86
1644,RI,RI15,100,87867,62730,0.159137405,1.638284825,39
1645,RI,RI15,100,87867,77812,0.612327824,2.091475244,90
1646,RI,RI15,100,89736,63664,0.090545307,1.569692727,50
1647,RI,RI15,100,89736,79307,0.560391963,2.039539383,94
1648,RI,RI15,200,91745,64058,0.540243243,3.524710472,82
1649,RI,RI15,200,91745,80670,4.123403394,7.107870623,182
1650,RI,RI15,200,92373,64372,0.53661897,3.521086199,85
1651,RI,RI15,200,92373,81172,5.093753466,8.078220695,182
1652,RI,RI15,200,93002,64686,0.088901312,3.073368541,122
1653,RI,RI15,200,93002,81675,3.037114982,6.021582211,189
1654,RI,RI15,500,92943,64252,1.632763731,9.944316875,182
1655,RI,RI15,500,92943,81466,5.627812474,13.93936562,466
1656,RI,RI15,500,93391,64476,0.727936371,9.039489515,237
1657,RI,RI15,500,93391,81825,4.519175063,12.83072821,476
1658,RI,RI15,500,93840,64701,0.249073905,8.560627049,294
1659,RI,RI15,500,93840,82184,2.999362349,11.31091549,484
1660,RI,RI15,1000,96496,65754,2.087918856,21.27127198,536
1661,RI,RI15,1000,96496,84199,12.02048235,31.20383547,972
1662,RI,RI15,1000,98368,66690,1.287475922,20.47082904,616
1663,RI,RI15,1000,98368,85697,18.62413331,37.80748643,978
1664,RI,RI15,1000,100240,67626,0.867824193,20.05117731,698
1665,RI,RI15,1000,100240,87194,14.60098693,33.78434005,988
1666,RI,RI16,1,1,3.39E-04,0.059724211,1,1
1667,RI,RI16,10,55788,38501,6.44E-04,0.111199748,1
1668,RI,RI16,10,55788,48873,4.60E-04,0.111015507,3
1669,RI,RI16,10,60121,40667,8.46E-04,0.111401519,2
1670,RI,RI16,10,60121,52339,3.36E-04,0.110891608,9
1671,RI,RI16,10,64454,42834,8.23E-04,0.111378891,3
1672,RI,RI16,10,64454,55806,9.82E-04,0.11153771,10
1673,RI,RI16,50,67083,44148,0.004063574,0.764708642,6
1674,RI,RI16,50,67083,57909,0.00533769,0.765982758,38
1675,RI,RI16,50,68715,44964,0.007047055,0.767692123,6
1676,RI,RI16,50,68715,59214,0.010769036,0.771414104,40
1677,RI,RI16,50,70348,45781,0.012940612,0.77358568,9
1678,RI,RI16,50,70348,60521,0.018691063,0.779336131,42
1679,RI,RI16,100,73064,47139,0.049104495,1.441910634,16
1680,RI,RI16,100,73064,62694,0.090827606,1.483633745,83
1681,RI,RI16,100,74026,47620,0.036491719,1.429297858,18
1682,RI,RI16,100,74026,63463,0.087265909,1.480072048,85
1683,RI,RI16,100,74988,48101,0.026033615,1.418839754,24
1684,RI,RI16,100,74988,64233,0.091781288,1.484587427,90
1685,RI,RI16,200,73064,47139,0.039333421,2.876777565,34
1686,RI,RI16,200,73064,62694,0.078067116,2.91551126,166
1687,RI,RI16,200,74026,47620,0.050921835,2.888365979,37
1688,RI,RI16,200,74026,63463,0.083380919,2.920825063,170
1689,RI,RI16,200,74988,48101,0.022210434,2.859654578,49
1690,RI,RI16,200,74988,64233,0.072429108,2.909873252,181
1691,RI,RI16,500,78839,50026,0.084164328,8.080615623,136
1692,RI,RI16,500,78839,67314,0.392303491,8.388754786,450
1693,RI,RI16,500,81286,51250,0.113181005,8.1096323,177
1694,RI,RI16,500,81286,69271,0.588834614,8.585285909,473
1695,RI,RI16,500,83734,52474,0.136553878,8.133005173,236
1696,RI,RI16,500,83734,71230,0.585231573,8.581682868,488
1697,RI,RI16,1000,81573,51393,0.192421244,19.79704928,374
1698,RI,RI16,1000,81573,69501,0.542895047,20.14752308,944
1699,RI,RI16,1000,84778,52996,0.451609632,20.05623767,453
1700,RI,RI16,1000,84778,72065,1.16859091,20.77321894,972
1701,RI,RI16,1000,87984,54599,0.227123698,19.83175173,564
1702,RI,RI16,1000,87984,74630,1.925005482,21.52963352,985
1703,RI,RI17,1,1,2.06E-04,0.076381775,1,1
1704,RI,RI17,10,37170,26659,0.001311061,0.128387268,1
1705,RI,RI17,10,37170,32965,9.19E-04,0.127994969,5
1706,RI,RI17,10,39227,27688,8.93E-04,0.127969057,3
1707,RI,RI17,10,39227,34611,0.001131219,0.128207426,8
1708,RI,RI17,10,41284,28716,3.00E-04,0.127375757,6
1709,RI,RI17,10,41284,36257,9.11E-04,0.127987706,9
1710,RI,RI17,50,42258,29203,0.002420559,0.677543654,14
1711,RI,RI17,50,42258,37036,0.002834649,0.677957744,38
1712,RI,RI17,50,43460,29804,0.002660325,0.67778342,20
1713,RI,RI17,50,43460,37997,0.003573848,0.678696943,44
1714,RI,RI17,50,44662,30405,0.002198046,0.677321141,24
1715,RI,RI17,50,44662,38959,0.004386521,0.679509616,46
1716,RI,RI17,100,42929,29113,0.002188128,1.419399533,42
1717,RI,RI17,100,42929,37402,0.002572115,1.41978352,89
1718,RI,RI17,100,43795,29546,0.002698596,1.419910001,44
1719,RI,RI17,100,43795,38095,0.003146,1.420357405,92
1720,RI,RI17,100,44662,29979,0.003477607,1.420689012,50
1721,RI,RI17,100,44662,38789,0.004471587,1.421682992,94
1722,RI,RI17,200,45662,29673,0.005650508,2.964767588,68
1723,RI,RI17,200,45662,39266,0.007745468,2.966862548,173
1724,RI,RI17,200,46713,30199,0.006766502,2.965883582,76
1725,RI,RI17,200,46713,40107,0.011848713,2.970965793,175
1726,RI,RI17,200,47765,30725,0.005571029,2.964688109,115
1727,RI,RI17,200,47765,40949,0.011739202,2.970856282,192
1728,RI,RI17,500,47118,28985,0.009641239,8.089039808,199
1729,RI,RI17,500,47118,39865,0.013174579,8.092573148,464
1730,RI,RI17,500,47441,29147,0.009582572,8.088981141,205
1731,RI,RI17,500,47441,40123,0.014654586,8.094053155,465
1732,RI,RI17,500,47765,29309,0.010729366,8.090127935,208
1733,RI,RI17,500,47765,40382,0.016177824,8.095576393,469
1734,RI,RI17,1000,52422,31637,0.088401529,19.11563544,329
1735,RI,RI17,1000,52422,44108,0.107897163,19.13513107,941
1736,RI,RI17,1000,52730,31791,0.058763404,19.08599731,396
1737,RI,RI17,1000,52730,44354,0.106519125,19.13375303,949
1738,RI,RI17,1000,53038,31945,0.037169389,19.0644033,607
1739,RI,RI17,1000,53038,44601,0.074004587,19.1012385,986
1740,RI,RI18,1,1,4.01E-04,0.079541395,1,1
1741,RI,RI18,10,67240,51706,0.002881581,0.126441208,0
1742,RI,RI18,10,67240,61026,0.002275219,0.125834846,6
1743,RI,RI18,10,69185,52678,0.003107797,0.126667424,1
1744,RI,RI18,10,69185,62582,0.002660883,0.12622051,7
1745,RI,RI18,10,71130,53651,0.003977181,0.127536808,2
1746,RI,RI18,10,71130,64138,0.003011276,0.126570903,8
1747,RI,RI18,50,76343,56257,0.011737456,0.686544728,9
1748,RI,RI18,50,76343,68308,0.014822973,0.689630245,38
1749,RI,RI18,50,78206,57189,0.016380434,0.691187706,12
1750,RI,RI18,50,78206,69799,0.021150383,0.695957655,43
1751,RI,RI18,50,80069,58120,0.016502377,0.691309649,14
1752,RI,RI18,50,80069,71289,0.021958586,0.696765858,46
1753,RI,RI18,100,81750,58961,0.048467263,1.522214207,21
1754,RI,RI18,100,81750,72634,0.074992772,1.548739716,78
